source_key,group,organization,authority_type,jurisdiction,scope,title,source_url,final_url,document_type,local_path,content_type,sha256,bytes,retrieved_at_utc,status,error
dol,hr,U.S. Department of Labor,federal_guidance,United States,"Federal labor standards, wages, leave, and employer compliance",U.S. Department of Labor,https://www.dol.gov/agencies/whd/fact-sheets,,,,,,0,2026-07-31T00:58:51.496179+00:00,error,HTTPError: 403 Client Error: Forbidden for url: https://www.dol.gov/agencies/whd/fact-sheets
dol,hr,U.S. Department of Labor,federal_guidance,United States,"Federal labor standards, wages, leave, and employer compliance",U.S. Department of Labor,https://www.dol.gov/agencies/whd/resources,,,,,,0,2026-07-31T00:58:52.893620+00:00,error,HTTPError: 403 Client Error: Forbidden for url: https://www.dol.gov/agencies/whd/resources
eeoc,hr,U.S. Equal Employment Opportunity Commission,federal_guidance,United States,"Federal equal-employment, discrimination, harassment, retaliation, and accommodation guidance",Filing A Charge of Discrimination | U.S. Equal Employment Opportunity Commission,https://www.eeoc.gov/index%2ephp/filing-charge-discrimination,https://www.eeoc.gov/filing-charge-discrimination,html,hr\eeoc\Filing A Charge of Discrimination _ U.S. Equal Employment Opportunity Commission_d374a559b8.txt,text/html; charset=utf-8,d374a559b8a992d634b4fc65cc7ecba9d5f8203a37e0d2af91fcfa8c78293220,73612,2026-07-31T00:58:58.222980+00:00,downloaded-html-as-text,
eeoc,hr,U.S. Equal Employment Opportunity Commission,federal_guidance,United States,"Federal equal-employment, discrimination, harassment, retaliation, and accommodation guidance",How to File a Charge of Employment Discrimination | U.S. Equal Employment Opportunity Commission,https://www.eeoc.gov/index%2ephp/how-file-charge-employment-discrimination,https://www.eeoc.gov/how-file-charge-employment-discrimination,html,hr\eeoc\How to File a Charge of Employment Discrimination _ U.S. Equal Employment Opportunity Commission_495a1763c1.txt,text/html; charset=utf-8,495a1763c170572dc418dbb8d7dc522a47199ec340539145f68670c496e7c342,77684,2026-07-31T00:58:59.431700+00:00,downloaded-html-as-text,
eeoc,hr,U.S. Equal Employment Opportunity Commission,federal_guidance,United States,"Federal equal-employment, discrimination, harassment, retaliation, and accommodation guidance",Remedies For Employment Discrimination | U.S. Equal Employment Opportunity Commission,https://www.eeoc.gov/index%2ephp/remedies-employment-discrimination,https://www.eeoc.gov/remedies-employment-discrimination,html,hr\eeoc\Remedies For Employment Discrimination _ U.S. Equal Employment Opportunity Commission_2db3ad8686.txt,text/html; charset=utf-8,2db3ad8686f5d4c92caf8bbd59b2d2255d8592c0fdb59056bc8ea5db113ee7bf,68758,2026-07-31T00:59:00.630142+00:00,downloaded-html-as-text,
eeoc,hr,U.S. Equal Employment Opportunity Commission,federal_guidance,United States,"Federal equal-employment, discrimination, harassment, retaliation, and accommodation guidance",Filing a Lawsuit | U.S. Equal Employment Opportunity Commission,https://www.eeoc.gov/index%2ephp/filing-lawsuit,https://www.eeoc.gov/filing-lawsuit,html,hr\eeoc\Filing a Lawsuit _ U.S. Equal Employment Opportunity Commission_6c708ad9bc.txt,text/html; charset=utf-8,6c708ad9bcc8bb7200b1f95e6f6606b100df879077ac09015e25cb0fc40f95e1,71495,2026-07-31T00:59:01.767572+00:00,downloaded-html-as-text,
eeoc,hr,U.S. Equal Employment Opportunity Commission,federal_guidance,United States,"Federal equal-employment, discrimination, harassment, retaliation, and accommodation guidance",Age Discrimination | U.S. Equal Employment Opportunity Commission,https://www.eeoc.gov/index%2ephp/age-discrimination,https://www.eeoc.gov/age-discrimination,html,hr\eeoc\Age Discrimination _ U.S. Equal Employment Opportunity Commission_a5e2aa0ea0.txt,text/html; charset=utf-8,a5e2aa0ea0a945f71ec3bce5af0bb9003ff686d3f81310c54430d3a37f8756ff,69912,2026-07-31T00:59:02.998362+00:00,downloaded-html-as-text,
eeoc,hr,U.S. Equal Employment Opportunity Commission,federal_guidance,United States,"Federal equal-employment, discrimination, harassment, retaliation, and accommodation guidance",Equal Pay/Compensation Discrimination | U.S. Equal Employment Opportunity Commission,https://www.eeoc.gov/index%2ephp/equal-paycompensation-discrimination,https://www.eeoc.gov/equal-paycompensation-discrimination,html,hr\eeoc\Equal Pay_Compensation Discrimination _ U.S. Equal Employment Opportunity Commission_fcf371887d.txt,text/html; charset=utf-8,fcf371887d9c96abfb024c77c4724fc5f477edb1dad6d69f0273b6ae52820965,70256,2026-07-31T00:59:04.289847+00:00,downloaded-html-as-text,
eeoc,hr,U.S. Equal Employment Opportunity Commission,federal_guidance,United States,"Federal equal-employment, discrimination, harassment, retaliation, and accommodation guidance",Genetic Information Discrimination | U.S. Equal Employment Opportunity Commission,https://www.eeoc.gov/index%2ephp/genetic-information-discrimination,https://www.eeoc.gov/genetic-information-discrimination,html,hr\eeoc\Genetic Information Discrimination _ U.S. Equal Employment Opportunity Commission_212aa2b8fd.txt,text/html; charset=utf-8,212aa2b8fdc73cde9d5ff43f8f9a4844719a7f18f2c43d376f9c20d52a098f0c,73723,2026-07-31T00:59:05.529374+00:00,downloaded-html-as-text,
eeoc,hr,U.S. Equal Employment Opportunity Commission,federal_guidance,United States,"Federal equal-employment, discrimination, harassment, retaliation, and accommodation guidance",Harassment | U.S. Equal Employment Opportunity Commission,https://www.eeoc.gov/index%2ephp/harassment,https://www.eeoc.gov/harassment,html,hr\eeoc\Harassment _ U.S. Equal Employment Opportunity Commission_18c579dabe.txt,text/html; charset=utf-8,18c579dabe01c0d568cbcf65f4395fdbcd65ea43a2ef9bc0098b00894d05988e,74547,2026-07-31T00:59:06.691363+00:00,downloaded-html-as-text,
eeoc,hr,U.S. Equal Employment Opportunity Commission,federal_guidance,United States,"Federal equal-employment, discrimination, harassment, retaliation, and accommodation guidance",National Origin Discrimination | U.S. Equal Employment Opportunity Commission,https://www.eeoc.gov/index%2ephp/national-origin-discrimination,https://www.eeoc.gov/national-origin-discrimination,html,hr\eeoc\National Origin Discrimination _ U.S. Equal Employment Opportunity Commission_2658f3a413.txt,text/html; charset=utf-8,2658f3a4130c46eb4570878a62f19929355e763871687b6cc88dc6b266c9915e,78768,2026-07-31T00:59:07.933425+00:00,downloaded-html-as-text,
eeoc,hr,U.S. Equal Employment Opportunity Commission,federal_guidance,United States,"Federal equal-employment, discrimination, harassment, retaliation, and accommodation guidance",Pregnancy Discrimination and Pregnancy-Related Disability Discrimination | U.S. Equal Employment Opportunity Commission,https://www.eeoc.gov/index%2ephp/pregnancy-discrimination,https://www.eeoc.gov/pregnancy-discrimination,html,hr\eeoc\Pregnancy Discrimination and Pregnancy-Related Disability Discrimination _ U.S. Equal Employment Opportunity Commission_23540a7170.txt,text/html; charset=utf-8,23540a717063cc587ea3708c48bb72ea25860cb3fbb6607164f0324b9a28d64b,79622,2026-07-31T00:59:09.215624+00:00,downloaded-html-as-text,
